post_id,comment_id,user_id,date,text
119315,119426,375022327,1762334651,"Брянская пиццерия просто скопировала пост и не написала, что участие и скидывать нужно под вашим постом 😭"
119299,119311,6829714,1760896196,вы когда уже закроетесь??????? с таким качеством сервиса вам только закрыться
119299,119314,101076194,1760958701,Написала обращение  - реакции ноль.
119293,119304,155833436,1760883442,"Уважаемые не уважаемые  куда вам писать по поводу заказов которые вы не доставляете и не возвращаете деньги ? Хээлоу додики так сказать , как дела у вас там в конторе ? Найс почта работает, найс поддержка отвечает пишу сюда и в телегу копирую вы там проспаться не можете, бухаете?"
119285,119305,155833436,1760883450,"Уважаемые не уважаемые  куда вам писать по поводу заказов которые вы не доставляете и не возвращаете деньги ? Хээлоу додики так сказать , как дела у вас там в конторе ? Найс почта работает, найс поддержка отвечает пишу сюда и в телегу копирую вы там проспаться не можете, бухаете?"
119282,119283,5575500,1760593302,"Почему в Женском Стендапе нет шуток ""за триста""? 
Потому что на Патриках нет трактористов!🚜"
119282,119284,353204810,1760596423,А почему на сайте нет возможности выбрать сырный бортик ?
119282,119306,155833436,1760883459,"Уважаемые не уважаемые  куда вам писать по поводу заказов которые вы не доставляете и не возвращаете деньги ? Хээлоу додики так сказать , как дела у вас там в конторе ? Найс почта работает, найс поддержка отвечает пишу сюда и в телегу копирую вы там проспаться не можете, бухаете?"
119282,119312,5575500,1760900416,"Почему в Женском Стендапе с юмором не перебарщивают? 
Потому что не умеют готовить борщ!🍵

Почему Женский Стендап показывают в полночь? 
Потому что днем подзаряжают ступы!🧹

Почему Женский Стендап смотрят мужчины? 
Приятно видеть, что не только у тебя долбонашка!🐥"
119282,119342,787625091,1761219260,Колобок повесился 😆
119282,119357,1034364052,1761569663,
119273,119307,155833436,1760883466,"Уважаемые не уважаемые  куда вам писать по поводу заказов которые вы не доставляете и не возвращаете деньги ? Хээлоу додики так сказать , как дела у вас там в конторе ? Найс почта работает, найс поддержка отвечает пишу сюда и в телегу копирую вы там проспаться не можете, бухаете?"
119269,119308,155833436,1760883482,"Уважаемые не уважаемые  куда вам писать по поводу заказов которые вы не доставляете и не возвращаете деньги ? Хээлоу додики так сказать , как дела у вас там в конторе ? Найс почта работает, найс поддержка отвечает пишу сюда и в телегу копирую вы там проспаться не можете, бухаете?"
119268,119276,66599543,1760471713,"Больше работы Папа Джонс любил только своих дочерей... Маргариту, Маринару и Карбонару!"
119268,119277,136428679,1760498493,"Единственный папа, который у меня есть"
