post_id,likes,text_preview,date,link
118832,64,"Если ты еще не пробовал картофель от Папа Джонс, то самое время это исправить!  🍟Картофельные дольки: запеченные дольки картофеля в мундире со специям",2025-06-23 08:24:42,https://vk.com/wall-10095732_118832
117778,64,"Комедия-фэнтези про чудо, которое спасает отношения…  А для этого всего-то лишь потребовалось… сбить единорога! Но настоящее волшебство начинается с п",2025-03-24 11:20:07,https://vk.com/wall-10095732_117778
117805,62,"Первый полет человека в космос состоялся 12 апреля, с тех пор этот день в России отмечают как День космонавтики, а в мире — Международный день полета ",2025-03-31 11:40:25,https://vk.com/wall-10095732_117805
108116,60,"Да, именно так получается целая пицца — из обнимающих друг друга кусочков 😊  Объявляем конкурс в честь Международного дня объятий!  🔻 Отметь в коммент",2022-01-24 08:33:26,https://vk.com/wall-10095732_108116
114963,56,"Соскучился по старым добрым денькам, когда мы зависали вместе?  Ну что ж, отличная новость - специальное предложение, чтобы собрать компанию! 🥳 💚 Зака",2024-07-15 13:06:19,https://vk.com/wall-10095732_114963
117725,56,Поздравляем с началом Великого поста и переходим к крутым новостям!  Мы разработали специальное постное меню на основе сочных овощей и ароматных трав.,2025-03-04 12:55:32,https://vk.com/wall-10095732_117725
110437,56,Кто же стал обладателем брендированного игрового компьютера и сертификатов на товары и услуги от [club23977452|HYPERPC] ?   В акции приняли участие 39,2022-10-27 10:43:59,https://vk.com/wall-10095732_110437
114976,56,"Ты знал, что есть только две вещи, на которые можно бесконечно смотреть? И обе - это пиццы! 😍 Серьезно, этот цикл поедания пиццы никогда не кончается:",2024-07-18 09:04:40,https://vk.com/wall-10095732_114976
108837,55,"Глаз-алмаз заметит пиццу за раз! 👁 Ну, или за два раза…  🔻 Посмотри это видео. Всё внимание на коробки!  🔻 Напиши в комментариях номер коробки, в кото",2022-02-08 11:00:02,https://vk.com/wall-10095732_108837
119439,52,🔥 900! Овечкин снова в истории. Девятьсот голов в регулярке НХЛ!  Мы не могли пройти мимо такого рекорда и поздравляем Александра! 🏒  В честь великого,2025-11-06 12:49:26,https://vk.com/wall-10095732_119439
115183,51,"Итак, давай устроим небольшую перекличку и узнаем, в каких необычных местах вы пробовали пиццу.🙃 Может, ты ел пиццу в палатке во время похода? Или на ",2024-08-16 12:00:00,https://vk.com/wall-10095732_115183
115182,50,"Поздравляем победителей🎉, принявших участие в Акции от «Папа Джонс» & Издательства «Питер» 🍕📚 Розыгрыш призов проходил с помощью рандомайзера среди уч",2024-08-16 09:39:05,https://vk.com/wall-10095732_115182
103184,49,"💥 Включай фантазию и пиши в комментариях: на что похож кусочек пиццы? Для кого-то это просто треугольник, а для кого-то ёлка, конус и далее по списку ",2021-05-17 07:58:08,https://vk.com/wall-10095732_103184
114955,49,VK Fest в самом разгаре 🔥 Пицца 40 см с пепперони или ветчиной и грибами ждут тебя в зоне фудкорта сразу после арки с лентами. Ловите навигацию 👇🏽,2024-07-13 13:07:27,https://vk.com/wall-10095732_114955
111731,48,"Было бы здорово, если пиццу доставляли чемпионы России по мотогонкам и через пару минут на пороге стояли с горячей пиццей в руках! 🍕 🍕 🍕  Мы поэкспери",2023-06-08 03:12:28,https://vk.com/wall-10095732_111731
109669,46,Хочешь выиграть фирменный самовар с логотипом Папа Джонс или Годовой запас пиццы? 🍕  Тогда участвуй в акции от Папа Джонс и Самоваров Град - сделай за,2022-05-16 08:21:42,https://vk.com/wall-10095732_109669
109483,45,"Давай проверим, насколько хорошо ты знаешь пиццу Папа Джонс?🧐  Переходи в наш чат-бот Telegram, ответь на вопросы квиза о пицце и получи гарантированн",2022-04-04 11:39:32,https://vk.com/wall-10095732_109483
110025,45,"Сегодня очень важный и ответственный день! Финальный день важнейшего хоккейного турнира среди юношей: Кубка Александра Овечкина!  И, по традиции, Папа",2022-08-13 10:55:47,https://vk.com/wall-10095732_110025
7871,44,"Друзья, наш [https://m.vk.com/wall-67086935_7858|Розыгрыш от Папа Джонс и СИН] подошёл к концу! Поздравляем победителей:  1 место: [https://vk.com/id7",2025-08-01 15:03:24,https://vk.com/wall-10095732_7871
